id,cityId,name
1079,62,Kedamean
1080,88,Ngawi
1081,65,Robatal
1082,73,Binakal
1083,72,Kabat
1084,86,Sawahan
1085,75,Sekar
1086,81,Krian
1087,86,Baron
1088,77,Magetan
1089,93,Durenan
1090,69,Pamekasan
1091,72,Siliragung
1092,75,Kasiman
1093,64,Ganding
1094,73,Tenggarang
1095,71,Kwanyar
1096,94,Bangilan
1097,89,Gemarang
1098,63,Ringinrejo
1099,76,Gading
1100,74,Beji
1101,85,Jatirejo
1102,70,Ploso
1103,76,Tongas
1104,77,Kartoharjo
1105,81,Taman
1106,81,Wonoayu
1107,68,Pakusari
1108,79,Lawang
1109,62,Gresik
1110,89,Jiwan
1111,87,Sooko
1112,75,Gayam
1113,86,Jatikalen
1114,83,Boyolangu
1115,96,Junrejo
1116,75,Kedewan
1117,84,Donorojo
1118,85,Trawas
1119,63,Purwoasri
1120,77,Bendo
1121,80,Garum
1122,72,Cluring
1123,83,Sumbergempol
1124,83,Gondang
1125,97,Kepanjenkidul
1126,63,Pare
1127,63,Pagu
1128,93,Kampak
1129,73,Wonosari
1130,97,Sananwetan
1131,74,Bangil
1132,93,Pogalan
1133,80,Kademangan
1134,80,Sanankulon
1135,81,Prambon
1136,67,Wonocolo
1137,85,Pacet
1138,85,Kemlagi
1139,81,Waru
1140,67,Sambikerep
1141,76,Krucil
1142,82,Sarirejo
1143,83,Besuki
1144,63,Kepung
1145,78,Tempeh
1146,73,Klabang
1147,66,Besuki
1148,82,Sekaran
1149,70,Mojoagung
1150,62,Menganti
1151,87,Siman
1152,71,Socah
1153,80,Binangun
1154,94,Singgahan
1155,63,Kandat
1156,82,Kalitengah
1157,72,Muncar
1158,87,Jambon
1159,66,Bungatan
1160,70,Gudo
1161,70,Kesamben
1162,63,Mojo
1163,63,Tarokan
1164,85,Sooko
1165,97,Sukorejo
1166,86,Ngetos
1167,91,Prajuritkulon
1168,65,Karangpenang
1169,82,Maduran
1170,69,Larangan
1171,63,Semen
1172,84,Ngadirojo
1173,89,Kare
1174,77,Plaosan
1175,84,Punung
1176,75,Ngambon
1177,78,Sukodono
1178,67,Pabean Cantian
1179,76,Lumbang
1180,77,Karas
1181,73,Botolinggo
1182,93,Bendungan
1183,72,Giri
1184,76,Maron
1185,73,Tlogosari
1186,94,Parengan
1187,88,Karangjati
1188,82,Laren
1189,75,Kalitidu
1190,63,Plosoklaten
1191,94,Montong
1192,87,Kauman
1193,88,Bringin
1194,65,Torjun
1195,88,Jogorogo
1196,75,Bubulan
1197,66,Suboh
1198,69,Batumarmar
1199,90,Gadingrejo
1200,67,Bulak
1201,67,Kenjeran
1202,89,Pilangkenceng
1203,93,Karangan
1204,74,Prigen
1205,96,Bumiaji
1206,78,Tempursari
1207,72,Purwoharjo
1208,72,Kalipuro
1209,74,Gempol
1210,72,Glenmore
1211,80,Kesamben
1212,77,Parang
1213,84,Tulakan
1214,80,Gandusari
1215,64,Talango
1216,68,Kencong
1217,93,Dongko
1218,64,Pasongsongan
1219,83,Campurdarat
1220,77,Sidorejo
1221,84,Pringkuku
1222,74,Sukorejo
1223,81,Porong
1224,78,Candipuro
1225,88,Kasreman
1226,68,Jenggawah
1227,74,Purwodadi
1228,87,Sampung
1229,70,Wonosalam
1230,70,Mojowarno
1231,76,Sumber
1232,82,Ngimbang
1233,73,Tapen
1234,76,Leces
1235,74,Wonorejo
1236,87,Jetis
1237,74,Grati
1238,68,Sumberjambe
1239,66,Kapongan
1240,73,Curahdami
1241,98,Kanigaran
1242,68,Rambipuji
1243,66,Jatibanteng
1244,76,Kotaanyar
1245,78,Gucialit
1246,73,Grujugan
1247,88,Kendal
1248,62,Kebomas
1249,79,Wagir
1250,74,Nguling
1251,75,Dander
1252,67,Wonokromo
1253,78,Yosowilangun
1254,68,Tanggul
1255,72,Tegalsari
1256,93,Trenggalek
1257,66,Situbondo
1258,63,Papar
1259,78,Rowokangkung
1260,83,Pucanglaban
1261,85,Dlanggu
1262,80,Doko
1263,63,Ngasem
1264,75,Purwosari
1265,83,Sendang
1266,78,Kunir
1267,82,Kembangbahu
1268,67,Tegalsari
1269,76,Dringu
1270,77,Nguntoronadi
1271,93,Watulimo
1272,77,Lembeyan
1273,67,Dukuh Pakis
1274,67,Gayungan
1275,67,Tambaksari
