id,districtId,name
484,71,Mandalasari
485,51,Mandalasari
486,128,Mandalawangi
487,9,Mandrajaya
488,107,Manggungjaya
489,107,Manggungsari
490,96,Mangkonjaya
491,16,Mangkubumi
492,124,Mangunjaya
493,135,Mangunjaya
494,136,Mangunreja
495,63,Mangkurakyat
496,54,Maniis
497,23,Manonjaya
498,26,Margabakti
499,35,Margacinta
500,111,Margacinta
501,23,Margahayu
502,111,Margahayu
503,14,Margajaya
504,136,Margajaya
505,121,Margalaksana
506,123,Margalaksana
507,28,Margalaksana
508,63,Margalaksana
509,50,Margaluyu
510,23,Margaluyu
511,88,Margaluyu
512,104,Margaluyu
513,77,Margaluyu
514,52,Margamukti
515,94,Margamulya
516,24,Margamulya
517,42,Margamulya
518,99,Margasari
519,79,Margawati
520,137,Maripari
521,17,Maroko
522,15,Maruyungsari
523,76,Masawah
524,137,Mekar Hurip
525,17,Mekar Mukti
526,138,Mekar Wangi
527,25,Mekarasih
528,2,Mekarasih
529,28,Mekarbakti
530,51,Mekarbakti
531,116,Mekargalih
532,127,Mekarharja
533,52,Mekarhurip
534,123,Mekarjaya
535,60,Mekarjaya
536,28,Mekarjaya
537,42,Mekarjaya
538,8,Mekarjaya
539,84,Mekarjaya
540,69,Mekarjaya
541,9,Mekarjaya
542,48,Mekarjaya
543,5,Mekarjaya
544,117,Mekarjaya
545,58,Mekarlaksana
546,137,Mekarluyu
547,139,Mekarmukti
548,63,Mekarmukti
549,33,Mekarmukti
550,135,Mekarmukti
551,14,Mekarmulya
552,109,Mekarmulya
553,139,Mekarmulya
554,25,Mekarmulya
555,52,Mekarraharja
556,113,Mekarraya
557,9,Mekarsakti
558,76,Mekarsari
559,122,Mekarsari
560,50,Mekarsari
561,110,Mekarsari
562,17,Mekarsari
563,42,Mekarsari
564,63,Mekarsari
565,8,Mekarsari
566,80,Mekarsari
567,114,Mekarsari
568,18,Mekarsari
569,33,Mekarsari
570,95,Mekarsari
571,104,Mekarsari
572,140,Aan
573,141,Ababi
574,141,Abang
575,142,Abangsongan
576,143,Abian Tuwung
577,144,Abianbase
578,145,Abianbase
579,146,Abiansemal
580,146,Abiansemal Dauh Yeh Cani
581,147,Abuan
582,142,Abuan
583,148,Air Kuning
584,149,Akah
585,150,Alasangker
586,151,Ambengan
587,152,Amerta Bhuana
588,146,Angantaka
589,153,Angkah
590,154,Angseri
591,155,Antap
592,154,Antapan
593,156,Antiga
594,156,Antiga Kelod
595,153,Antosari
596,150,Anturan
597,154,Apuan
598,147,Apuan
599,157,Asahduren
600,150,Astina
601,142,Awan
602,146,Ayunan
603,158,Babahan
604,144,Baha
605,155,Bajera
606,155,Bajera Utara
607,140,Bakas
608,145,Bakbakan
609,150,Baktiseraga
610,159,Baler Bale Agung
611,159,Baluk
612,160,Ban
613,161,Bangbang
614,154,Bangli
615,162,Banjar
616,143,Banjar Anyar
617,150,Banjar Bali
