id,provinceId,name
1,1,Sukabumi
2,1,Garut
3,1,Tasikmalaya
4,1,Majalengka
5,1,Pangandaran
6,1,Kota Tasikmalaya
7,1,Bandung Barat
8,1,Sumedang
9,1,Kota Sukabumi
10,1,Kota Bandung
11,1,Kota Banjar
12,2,Klungkung
13,2,Karangasem
14,2,Bangli
15,2,Tabanan
16,2,Badung
17,2,Gianyar
18,2,Jembrana
19,2,Buleleng
20,2,Kota Denpasar
21,3,Kota Mataram
22,3,Sumbawa Barat
23,3,Sumbawa
24,3,Lombok Tengah
25,3,Lombok Timur
26,3,Lombok Utara
27,3,Lombok Barat
28,3,Dompu
29,3,Bima
30,4,Banyumas
31,4,Magelang
32,4,Brebes
33,4,Klaten
34,4,Purworejo
35,4,Pekalongan
36,4,Semarang
37,4,Kebumen
38,4,Temanggung
39,4,Demak
40,4,Kendal
41,4,Banjarnegara
42,4,Cilacap
43,4,Kota Semarang
44,4,Boyolali
45,4,Tegal
46,4,Grobogan
47,4,Wonosobo
48,4,Kota Salatiga
49,4,Kota Magelang
50,1,Kuningan
51,1,Cianjur
52,1,Bandung
53,1,Ciamis
54,5,Bantul
55,5,Kota Yogyakarta
56,5,Kulon Progo
57,5,Sleman
58,5,Gunungkidul
59,4,Batang
60,4,Pemalang
61,4,Purbalingga
62,6,Gresik
63,6,Kediri
64,6,Sumenep
65,6,Sampang
66,6,Situbondo
67,6,Kota Surabaya
68,6,Jember
69,6,Pamekasan
70,6,Jombang
71,6,Bangkalan
72,6,Banyuwangi
73,6,Bondowoso
74,6,Pasuruan
75,6,Bojonegoro
76,6,Probolinggo
77,6,Magetan
78,6,Lumajang
79,6,Malang
80,6,Blitar
81,6,Sidoarjo
82,6,Lamongan
83,6,Tulungagung
84,6,Pacitan
85,6,Mojokerto
86,6,Nganjuk
87,6,Ponorogo
88,6,Ngawi
89,6,Madiun
90,6,Kota Pasuruan
91,6,Kota Mojokerto
92,6,Kota Kediri
93,6,Trenggalek
94,6,Tuban
95,6,Kota Madiun
96,6,Kota Batu
97,6,Kota Blitar
98,6,Kota Probolinggo
99,6,Kota Malang
100,4,Blora
101,4,Sukoharjo
102,4,Karanganyar
103,4,Sragen
104,4,Wonogiri
105,4,Pati
106,4,Kota Surakarta
107,7,Pangkajene Kepulauan
108,8,Kepulauan Mentawai
109,9,Sarolangun
110,9,Merangin
111,10,Way Kanan
